Source: https://github.com/rffscghg/MimiIWG.jl/: MimiIWG/data/IWG_inputs/DICE/SCC_input_EMFscenarios.xls in LandCO2 tab Units of GtC per decade,,,,,
Year,IMAGE,MERGE,MESSAGE,MiniCAM,Scen5
2000,11.15280545,0,10.8,10.40800746,8.090203229
2010,7.664320909,0,9.790909091,7.640684596,6.273978649
2020,8.386085455,0,8.836363636,5.260820072,4.948953777
2030,1.615019727,0,7.554545455,5.016008803,2.519674062
2040,3.927850909,0,6.027272727,4.83859893,2.344517829
2050,3.699807273,0,4.309090909,4.728590454,1.44911033
2060,3.529707273,0,2.4,4.417102649,0.136793039
2070,2.95278,0,0.354545455,3.609806534,-1.637936656
2080,-0.853817727,0,-1.827272727,2.306702108,-4.267153186
2090,-0.316280727,0,-4.145454545,1.997242135,-4.822591189
2100,-1.904876182,0,-6.545454545,1.687782163,-5.66410776
2110,-1.714388564,0,-5.890909091,1.519003946,-5.097696984
2120,-1.523900945,0,-5.236363636,1.35022573,-4.531286208
2130,-1.333413327,0,-4.581818182,1.181447514,-3.964875432
2140,-1.142925709,0,-3.927272727,1.012669298,-3.398464656
2150,-0.952438091,0,-3.272727273,0.843891081,-2.83205388
2160,-0.761950473,0,-2.618181818,0.675112865,-2.265643104
2170,-0.571462855,0,-1.963636364,0.506334649,-1.699232328
2180,-0.380975236,0,-1.309090909,0.337556433,-1.132821552
2190,-0.190487618,0,-0.654545455,0.168778216,-0.566410776
2200,0,0,0,0,0
2210,0,0,0,0,0
2220,0,0,0,0,0
2230,0,0,0,0,0
2240,0,0,0,0,0
2250,0,0,0,0,0
2260,0,0,0,0,0
2270,0,0,0,0,0
2280,0,0,0,0,0
2290,0,0,0,0,0
2300,0,0,0,0,0
