Source: https://github.com/rffscghg/MimiIWG.jl/: MimiIWG/data/IWG_inputs/DICE/CH4N20emissions_annualversion.xls in N2Oannual Tab Units of MtN2O,,,,,
Year,IMAGE,MERGE,MESSAGE,MiniCAM,Scen5
2005,8.31844425,10.68164565,10.355,10.62285714,9.599612763
2006,8.35541092,10.81091941,10.494,10.736,9.749305927
2007,8.39237759,10.94019316,10.633,10.84914286,9.898999091
2008,8.42934426,11.06946692,10.772,10.96228571,10.04869226
2009,8.46631093,11.19874067,10.911,11.07542857,10.19838542
2010,8.5032776,11.32801443,11.05,11.18857143,10.34807858
2011,8.54543744,11.50300386,11.251,11.49988439,10.41536551
2012,8.58759728,11.6779933,11.452,11.81119734,10.48265245
2013,8.62975712,11.85298273,11.653,12.1225103,10.54993938
2014,8.67191696,12.02797216,11.854,12.43382326,10.61722631
2015,8.7140768,12.2029616,12.055,12.74513622,10.68451324
2016,8.75623664,12.37795103,12.256,13.05644917,10.75180017
2017,8.79839648,12.55294046,12.457,13.36776213,10.8190871
2018,8.84055632,12.7279299,12.658,13.67907509,10.88637403
2019,8.88271616,12.90291933,12.859,13.99038805,10.95366096
2020,8.924876,13.07790876,13.06,14.301701,11.0209479
2021,8.9461944,13.07790876,13.236,14.41193623,11.05040805
2022,8.9675128,13.07790876,13.412,14.52217145,11.07986821
2023,8.9888312,13.07790876,13.588,14.63240668,11.10932837
2024,9.0101496,13.07790876,13.764,14.7426419,11.13878853
2025,9.031468,13.07790876,13.94,14.85287713,11.16824868
2026,9.0527864,13.07790876,14.116,14.96311236,11.19770884
2027,9.0741048,13.07790876,14.292,15.07334758,11.227169
2028,9.0954232,13.07790876,14.468,15.18358281,11.25662916
2029,9.1167416,13.07790876,14.644,15.29381803,11.28608931
2030,9.13806,13.07790876,14.82,15.40405326,11.31554947
2031,9.1509774,13.07790876,15.017,15.48740426,11.34018493
2032,9.1638948,13.07790876,15.214,15.57075526,11.36482038
2033,9.1768122,13.07790876,15.411,15.65410626,11.38945584
2034,9.1897296,13.07790876,15.608,15.73745727,11.41409129
2035,9.202647,13.07790876,15.805,15.82080827,11.43872675
2036,9.2155644,13.07790876,16.002,15.90415927,11.4633622
2037,9.2284818,13.07790876,16.199,15.98751027,11.48799766
2038,9.2413992,13.07790876,16.396,16.07086128,11.51263311
2039,9.2543166,13.07790876,16.593,16.15421228,11.53726857
2040,9.267234,13.07790876,16.79,16.23756328,11.56190402
2041,9.2764536,13.07790876,16.876,16.29403006,11.55644395
2042,9.2856732,13.07790876,16.962,16.35049684,11.55098388
2043,9.2948928,13.07790876,17.048,16.40696362,11.54552382
2044,9.3041124,13.07790876,17.134,16.4634304,11.54006375
2045,9.313332,13.07790876,17.22,16.51989718,11.53460368
2046,9.3225516,13.07790876,17.306,16.57636396,11.52914361
2047,9.3317712,13.07790876,17.392,16.63283074,11.52368354
2048,9.3409908,13.07790876,17.478,16.68929752,11.51822347
2049,9.3502104,13.07790876,17.564,16.7457643,11.51276341
2050,9.35943,13.07790876,17.65,16.80223108,11.50730334
2051,9.3664414,13.07790876,17.545,16.83576913,11.47004513
2052,9.3734528,13.07790876,17.44,16.86930719,11.43278692
2053,9.3804642,13.07790876,17.335,16.90284524,11.39552871
2054,9.3874756,13.07790876,17.23,16.93638329,11.3582705
2055,9.394487,13.07790876,17.125,16.96992135,11.32101229
2056,9.4014984,13.07790876,17.02,17.0034594,11.28375408
2057,9.4085098,13.07790876,16.915,17.03699745,11.24649587
2058,9.4155212,13.07790876,16.81,17.0705355,11.20923766
2059,9.4225326,13.07790876,16.705,17.10407356,11.17197945
2060,9.429544,13.07790876,16.6,17.13761161,11.13472124
2061,9.4390118,13.07790876,16.448,17.15061853,11.07867741
2062,9.4484796,13.07790876,16.296,17.16362545,11.02263358
